user_id;quantity_total;number_order;avg_quant_for_order;ratio_reordered;max_quant_for_order;stdev_quant_for_order;recipes_1;recipes_2;recipes_3;recipes_4;recipes_5;recipes_6;recipes_7;recipes_8;recipes_9;recipes_10;recipes_11;recipes_12;recipes_13;recipes_14;recipes_15;recipes_16;recipes_17;recipes_18;recipes_19;recipes_20
10000;509;56;9.089285714285714;0.6724137931034483;23;5.1988697572882852;2000;28950;16797;9870;25383;27134;23161;36209;11399;3314;12462;7332;33634;2132;334;45724;26023;21506;234;26885
100001;432;52;8.307692307692308;0.5779816513761468;22;4.8204566602421602;28315;9870;8248;48483;7883;47357;46094;12730;30013;2992;21746;25282;18544;31256;41105;42973;39880;17507;18844;26388
100136;272;16;17;0.5478260869565217;30;8.5790442358108866;11946;17798;7167;11399;4345;11636;15720;16246;8561;23161;31851;32313;23023;40651;28950;35612;16797;20774;25282;35749
100139;135;11;12.272727272727273;0.29545454545454547;22;4.5626945786653108;25023;13424;11632;16246;16029;15357;5565;6053;3468;23983;3314;30979;30265;21506;17229;45534;3376;43335;36443;5005
100198;758;43;17.627906976744185;0.650887573964497;35;8.3124211584201005;30592;44449;8248;30510;4646;33914;17798;2634;47913;7883;48483;9213;40074;8532;44820;46039;8561;49280;45286;20310
100247;364;36;10.11111111111111;0.5980392156862745;30;5.7409694441557655;21014;47913;1059;44820;33209;7167;15307;25383;42309;30510;39181;2530;27923;19284;28242;2000;20310;31869;41105;11020
10030;285;35;8.142857142857142;0.4722222222222222;14;2.7239985439105673;42289;8248;30719;15776;16468;48217;5608;8910;26885;16198;20167;10420;41105;17866;18109;11703;17946;23161;15384;10546
100325;468;78;6;0.5214723926380368;17;2.9891578973123743;30592;30976;21014;17696;27923;4350;35944;3314;5467;9870;29290;43450;22362;41883;45864;991;4914;5845;5608;14584
100330;511;44;11.613636363636363;0.5670103092783505;22;5.2483260192396899;31073;7883;17280;22078;28950;30013;20787;40864;14707;39880;17696;41105;31711;23161;27923;3914;18339;45912;37940;25383
100386;258;25;10.32;0.5046728971962616;16;3.2751590292177671;8248;16468;40864;48483;42141;7883;45003;4286;24486;16606;18324;28242;37099;26891;30086;25857;37151;33219;30448;20930
